Education,Marital_Status,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Customer_Tenure,Age,Total_Spend,ClusterLabel
Graduation,Single,0.23443525560302939,0,0,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,1,1.5279682638814707,1.0187846251951775,1.6767229684316762,0
Graduation,Single,-0.23408420871351018,1,1,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,0,-1.189355935150003,1.2752480964222197,-0.9629273027134031,1
Graduation,Together,0.7697328460443869,0,0,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,0,-0.2061786340458879,0.3348820352563983,0.28053059231028515,0
Graduation,Together,-1.0165919591041492,1,0,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,0,-1.0609006093776059,-1.2893866158482021,-0.9197632102292698,1
PhD,Married,0.24059266758955333,1,0,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,0,-0.952207641416347,-1.03292314462116,-0.30716512843522303,1
Master,Together,0.4082331745774961,0,1,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,0,-0.30004983364879334,0.16390638777170352,0.18092114811613125,0
Graduation,Divorced,0.13500298333032304,0,1,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,0,1.1821270021865558,-0.17804490719768606,-0.02825868469159203,1
PhD,Married,-0.7461425345605676,1,0,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,0,0.31258325849648433,-1.3748744395905497,-0.7271849514539055,1
PhD,Together,-0.8694099500069151,1,0,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,1,0.1693061643657339,-0.4345083784247282,-0.9313843120519211,1
PhD,Together,-1.850742519704344,1,1,68,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,0,-1.2140588824139253,1.6171993913916092,-0.9264038398422134,1
Basic,Married,-1.7771713777750384,0,0,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,0,1.1821270021865558,-0.6054840259094231,-0.9064819510033826,1
Graduation,Divorced,0.42889029866131845,0,0,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,0,-0.6310693269853547,0.8478089777104827,0.8217419057651882,0
Master,Divorced,0.28274114576827547,1,1,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,0,-0.6310693269853547,1.4462237439069143,-0.4931027575976437,1
Graduation,Married,-1.38695035878391,0,0,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,0,1.3501070435812288,-1.5458500870752443,-0.9313843120519211,1
PhD,Single,1.2141390905169263,0,0,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,1,1.1277805182059264,1.9591506863609989,1.1753554326544347,0
